DIMENSION,STATUS,RATIONALE,KEY_EVIDENCE_OR_TICKET
Market gap (400-800 TL ithal bosluk),YELLOW,"PARTIALLY SUPPORTED. Tek cok-SKU'lu kanalda 875 TL altinda stokta ithal SKU YOK; ancak ayni kanal 600 TL altinda YERLI de tasimiyor -> kismen kanal artefakti. Metro'da 599,90 ve 649,90 TL'ye iki ithal SKU FIILEN GORULDU.","EV-2026-08-10-702, EV-2026-08-09-501/-502, C-561"
Target price (799 TL),YELLOW,"799 CURRENT DESIGN TARGET. Pazar sinifi ATTRACTIVE/MEDIUM, ekonomik dayaniklilik en dengeli basamak. Ama hangi L8 alt katmani oldugu UNKNOWN ve L8_CHAIN_RETAIL'de SIFIR gozlem var.","T-859, T-701, T-603"
Tax economics,GREEN,"Matrah sirasi ve oranlar T1 ile dogrulanmis, satir satir hesaplanabiliyor. OTV 71,2692 TL/lt = 53,4519 TL/sise maktu; KDV %20; KDV indirilebilir (T-947 CONFIRMED).","EV-2026-08-09-110/-111/-115/-117/-118, EV-2026-08-10-852/-860"
Customs / origin regime,YELLOW,"%50 KOSULLU orandir; belge veya dogrudan nakliyat saglanmazsa otomatik %70. Kaybin bedeli TAM %11,765 = -32,10 TL/sise. Sili'de rota bir vergi kararidir.","EV-2026-08-09-103, EV-2026-08-10-157/-160, T-914"
Sourcing (tedarikci havuzu),YELLOW,"26 tedarikci taranmis, 10 hedef ve tam RFQ paketi hazir, 7 hedef READY_TO_SEND. Ancak dogrulanmis MOQ yalnizca 4 firmada var.","50-sourcing/top-10-rfq-targets.md, T-885"
Supplier pricing (EXW/FOB),RED,26 tedarikcinin 26'sindan da teklif ALINMAMISTIR. Havuzdaki tek yayinlanmis fiyatin para birimi ve katmani UNKNOWN. FIRM_OFFER sayisi: 0.,"T-466 (CRITICAL, OPEN), C-461"
Logistics,YELLOW,9 rotanin LCL navlunu gercek tarihli kotasyonla biliniyor (Italya haric). FCL hicbir rotada dogrulanmamis (4-5 kat band). LCL kartlari 2026-08-17'de STALE.,"EV-2026-08-10-301...-311, C-311, T-304 (CRITICAL), T-913"
Channel,RED,"L8_CHAIN_RETAIL null. m_retail, d, f'nin tamami ASSUMPTION/UNKNOWN. Tek kanitli marj capasi Migros %24,31 ve o SARAP DEGIL, TUM KATEGORI.","T-603, T-604, T-856, kanal.yaml SENSITIVITY_ONLY"
Legal / regulatory,YELLOW,"G0=PASS korunuyor ama BES TURDUR TEST EDILMEDI. Iki acik celiski (C-252, C-203) uzerinde duruyor. Antrepo bekleme suresi UNKNOWN (T-301 CRITICAL).","20-mevzuat/*, C-202, C-252, C-203, T-301"
Working capital / peak cash,RED,"peak_cash_requirement TUTARI hesaplanamiyor: CIF yok, FCL navlun yok, antrepo bekleme suresi yok, yasal vade tavani nitelemesi yok.","T-466, T-304, T-301, T-601 (dordu de CRITICAL)"
Sales velocity / demand,RED,"Turkiye'de sarap icin TEK BIR talep, hacim, rotasyon veya satis verisi YOKTUR. Store velocity tamamen ASSUMPTION.","C-561, target-shelf-price-analysis §6"
Competition,YELLOW,Hedef bantta 600-1.000 TL'de 65 yerli / 2 ithal stokta SKU. Yerli rakip seti isimli ve somut. Ama tek kanaldan okundu ve o kanal premium'a kayik (stokta yerli medyan 1.410 TL).,"EV-2026-08-10-702, EV-2026-08-10-502"
Scalability,YELLOW,Olcek ekonomisinin %87'si 5.000->25.000 sicramasinda. 25.000 ustunde MAX_CIF etkisi ihmal edilebilir ve sebebi navlun degil BIR RUHSAT KADEMESI (20.000 lt/yil: 150.839 -> 253.372 TL).,"EV-2026-08-09-234, T-858, reverse-price-model §6.2"
