evidence_id,claim,value,unit,tier,source_name,url,publication_date,effective_date,access_date,confidence,status,ttl,snapshot_path,collecting_agent,supersedes,conflict_id,notes
EV-2026-08-10-901,"Harland Wine Company (AU) kurumsal private label sayfasinda hello@harlandwineco.com.au e-posta adresi ve /contact-us formu 2026-08-10'da yayinda; telefon ve adres yayinlanmamis","hello@harlandwineco.com.au + web form /contact-us",iletisim_kanali,T4,"Harland Wine Company Pty Ltd - OEM / Private Label sayfasi",https://www.harlandwineco.com.au/private-label,UNKNOWN,UNKNOWN,2026-08-10,HIGH,FACT,90d,-,global-sourcing-kasifi,-,-,"Kanal K-B. Ayni sayfada fiyat kademeleri (2.85+/5.00+/8.50+), MOQ 6.000 sise ve 14.112 sise/20ft slipsheet beyani 2026-08-10'da hala yayinda (EV-451/-452 teyidi). Muhatap kisi adi YOK. /contact HTTP 404."
EV-2026-08-10-902,"Cantina Danese (IT) kurumsal sitesinde international@cantinadanese.com uluslararasi satis e-postasi telefon ve adres 2026-08-10'da yayinda","international@cantinadanese.com | +39 045 746 0060 | Via Moschina 31, 37030 Ronca (VR)",iletisim_kanali,T4,"Cantina Danese s.r.l. Unipersonale kurumsal sitesi",https://www.cantinadanese.com/,UNKNOWN,UNKNOWN,2026-08-10,HIGH,FACT,90d,-,global-sourcing-kasifi,-,-,"Kanal K-A - havuzdaki TEK ihracata ayrilmis adres. Muhatap kisi adi YOK. /en/contatti/ HTTP 404; bilgi ana sayfadan okundu."
EV-2026-08-10-903,"Interbrosa Family Wines (ES) kurumsal sitesi 2026-08-10'da ERISILEMEZ: www.interbrosa.es 301 ile www.interbrosa.com'a yonleniyor o da HTTP 503 donuyor","SITE ERISILEMEZ - HTTP 503 (iki domain)",iletisim_kanali,T4,"Interbrosa Family Wines kurumsal sitesi",https://www.interbrosa.es/,UNKNOWN,UNKNOWN,2026-08-10,HIGH,FACT,90d,-,global-sourcing-kasifi,-,-,"EV-2026-08-10-467'nin devami. info@interbrosa.es ONCEKI turda toplandi; BU TURDA YENIDEN DOGRULANAMADI. Bounce riski YUKSEK. Firma faal mi UNKNOWN -> T-889."
EV-2026-08-10-904,"The Wine Factory (FR) iletisim sayfasinda YAYINLANMIS E-POSTA ADRESI YOK; kanal Google Forms formu + iki tesis telefonu; iki tesis muduru adi kamuya acik","Google Form + Mr Romain Roux +33 5 56 61 91 12 (Gornac) | Mr Laurent Gauzi +33 4 67 76 50 24 (Valros)",iletisim_kanali,T4,"The Wine Factory (SARL) kurumsal sitesi - Contact",https://en.twf-wines.com/contact,UNKNOWN,UNKNOWN,2026-08-10,HIGH,FACT,90d,-,global-sourcing-kasifi,-,-,"Kanal K-C/K-D. E-posta YOK -> NEEDS_CONTACT (T-886). '48h icinde donus' ve 'minimum 3600 sise' beyani hala yayinda (EV-2026-08-09-410 teyidi)."
EV-2026-08-10-905,"Corta Hojas Export Wine (CL) kurumsal sitesinde info@cortahojas.com telefon ve iki adres 2026-08-10'da yayinda","info@cortahojas.com | +56 75 231 5328 | Manuel Montt 357 Piso 8, Curico",iletisim_kanali,T4,"Corta Hojas Export Wine kurumsal sitesi - Contact",https://www.cortahojas.com/contact.php,UNKNOWN,UNKNOWN,2026-08-10,HIGH,FACT,90d,-,global-sourcing-kasifi,-,-,"Kanal K-B. Muhatap kisi adi YOK. Bag adresi Sagrada Familia km 20,5."
EV-2026-08-10-906,"Bodegas San Valero (ES) kurumsal sitesinde bsv@sanvalero.com genel kurumsal e-postasi ve telefonlar yayinda; ihracat departmanina ayrilmis adres YOK","bsv@sanvalero.com | +34 976 620 400 | Ctra. Nacional 330 km 450, 50400 Carinena",iletisim_kanali,T4,"Bodegas San Valero kurumsal sitesi - Contacto",https://www.sanvalero.com/en/contact/,UNKNOWN,UNKNOWN,2026-08-10,HIGH,FACT,90d,-,global-sourcing-kasifi,-,-,"KANAL YUKSELMESI: K-E (fuar profili) -> K-B (dogrudan kurumsal e-posta). tienda@ ve enoturismo@ RFQ icin uygun degil."
EV-2026-08-10-907,"Casa Santos Lima (PT) kurumsal iletisim sayfasinda geral@casasantoslima.com e-postasi ve telefonlar yayinda","geral@casasantoslima.com | +351 263 760 621 | Quinta da Boavista, 2580-081 Aldeia Galega da Merceana",iletisim_kanali,T4,"Casa Santos Lima kurumsal sitesi - Contact",https://www.casasantoslima.com/en/contact/,UNKNOWN,UNKNOWN,2026-08-10,HIGH,FACT,90d,-,global-sourcing-kasifi,-,-,"KANAL YUKSELMESI: K-D (yalnizca form) -> K-B. Siparis hatti +351 91 722 92 35. Muhatap kisi adi YOK."
EV-2026-08-10-908,"Vidigal Wines (PT) kurumsal alan adi 2026-08-10'da 301 ile porta6.com'a yonleniyor; porta6.com yas dogrulama duvari arkasinda ve hicbir iletisim bilgisi yayinlamiyor; Wine Paris fuar profili de iletisim bilgisi icermiyor","ILETISIM KANALI DOGRULANAMADI",iletisim_kanali,T4,"Vidigal Wines S.A. - vidigalwines.com / porta6.com / wineparis.com",https://vidigalwines.com/contacts/,UNKNOWN,UNKNOWN,2026-08-10,HIGH,UNKNOWN,90d,-,global-sourcing-kasifi,-,-,"Ucuncu taraf dizinlerde telefon +351 244 819 480 ve Leiria adresi goruluyor ANCAK kurumsal kanaldan teyit EDILMEDI -> rfq-contact-pack.md §5/4 geregi dogrulanmis kanal SAYILMAZ. iwsc.net HTTP 403. NEEDS_CONTACT -> T-888."
EV-2026-08-10-909,"Plaimont (FR) iletisim sayfasinda YAYINLANMIS E-POSTA ADRESI YOK; kanal departman secimli web formu ('Export sales department' secenegi var) + telefon","Web form (Export sales department) | +33 (0)5 62 69 62 87 | 199 Route de Corneillan, 32400 Saint-Mont",iletisim_kanali,T4,"Plaimont kurumsal sitesi - Contact",https://www.plaimont.com/en/contact,UNKNOWN,UNKNOWN,2026-08-10,HIGH,FACT,90d,-,global-sourcing-kasifi,-,-,"Kanal K-D/K-C. E-posta YOK -> NEEDS_CONTACT (T-887). Formun 'Export sales department' secenegi dogru muhataba ulasma ihtimalini yukseltir."
EV-2026-08-10-910,"Purcari Wineries Group (MD) kurumsal iletisim sayfasinda iki e-posta iki telefon ve merkez adresi yayinda","purcari@purcari.wine | investor.relations@purcari.wine | +373 22 856 022 | Str. Calea Iesilor nr. 8, MD-2069 Chisinau",iletisim_kanali,T4,"Purcari Wineries Group kurumsal sitesi - Contacts",https://purcariwineries.com/contacts/,UNKNOWN,UNKNOWN,2026-08-10,HIGH,FACT,90d,-,global-sourcing-kasifi,-,-,"Kanal K-B. investor.relations@ RFQ ICIN KULLANILMAZ (halka acik sirketin yatirimci kanali); yalnizca ikincil/eskalasyon kaydi."
