supplier_id,supplier,country,website,contact_page,export_contact_email_if_public,product_category,existing_or_private_label,MOQ,EXW,FOB,currency,Incoterm,port,bottle_size,bottle_weight,case_configuration,pallet_configuration,lead_time,production_time,payment_terms,label_cost,carton_cost,sample_policy,annual_capacity,certificates,turkey_export_experience,quote_publication_date,source,confidence,price_source_class,price_layer,priority,evidence_id,notes
SUP-451,Harland Wine Company Pty Ltd,Australia,https://www.harlandwineco.com.au/,https://www.harlandwineco.com.au/private-label,hello@harlandwineco.com.au,"Still wine, bottled finished product, 750 ml; entry/mid/premium tiers",PRIVATE_LABEL,6000 sise/sarap (500x12x750ml veya 1000x6x750ml),2.85+ (MOQ siparislerde 'ex factory' beyani),2.85+ (tam 20ft konteynerde FOB beyani),"UNKNOWN — kaynakta yalnizca '$', AUD/USD DOGRULANMADI",FOB (FCL) / EX FACTORY (MOQ siparisi) — ikisi de sitede yazili,UNKNOWN,750,UNKNOWN,12x750ml veya 6x750ml,slipsheet (paletsiz); 14.112 sise/20ft,~6 hafta + navlun (4-5 hafta siseleme + 1 hafta paketleme),4-5 hafta,%50 pesin + %50 siseleme sonrasi (tamami sevkiyat oncesi),fiyata DAHIL DEGIL — hacme gore degisir,fiyata DAHIL ('Dry Goods'),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Uretici kurumsal sitesi (T4),MEDIUM,PUBLIC_INDICATIVE,"L0 veya L1 — siparis buyuklugune bagli, BELIRSIZ (C-461)",A,EV-2026-08-10-451; EV-2026-08-10-452,Havuzdaki TEK yayinlanmis sise basi fiyat. Para birimi cozulmeden modele giremez. AU->TR hatti zayif (44.674 l/2025).
SUP-452,Cantina Danese s.r.l. Unipersonale,Italy,https://www.cantinadanese.com/,https://www.cantinadanese.com/private-label,international@cantinadanese.com,"Still wine, bottled finished product; cok sayida Italyan apelasyonu",PRIVATE_LABEL,6000 sise / tek referans (SKU),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"ozellestirme VAR, maliyet UNKNOWN","ozellestirme VAR ('the carton'), maliyet UNKNOWN",UNKNOWN,UNKNOWN,5 asamali kalite kontrol beyani; sertifika listesi UNKNOWN,UNKNOWN,UNKNOWN,Uretici kurumsal sitesi (T4),MEDIUM,NONE,-,A,EV-2026-08-10-453,"Adres Via Moschina 31, 37030 Ronca (VR). Tel +39 045 746 0060. Gumruk antreposu isletiyor. IT->TR hatti EN GUCLU mense (5.749.972 l/2025)."
SUP-453,Zidela Worldwide Wines,South Africa,http://www.zidelawines.co.za/,http://www.zidelawines.co.za/,UNKNOWN (tel: 021 880 2936),Bottled + bulk; 'value for money' konumlandirmasi,PRIVATE_LABEL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750 (varsayilan; DOGRULANMADI),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2.000.000 sise/ay (dizin beyani),UNKNOWN,"UNKNOWN (14 ulke, liste UNKNOWN)",UNKNOWN,Sektor dizini (T4) — uretici sitesi yas duvari arkasinda okunamadi,LOW,NONE,-,B,EV-2026-08-10-454,"Negociant — ek marj katmani riski. 30 Techno Ave, Techno Park, Stellenbosch. ZA->TR hatti cok zayif (18.026 l/2025)."
SUP-454,Vidigal Wines S.A.,Portugal,https://www.vidigalwines.com/ (2026-08-10: porta6.com'a 301),https://wineparis.com/newfront/exhibitor/vidigal-wines-sa,UNKNOWN,"Still + dessert wine, bottled; 40 farkli sarap tipi; amiral marka Porta 6",EXISTING_BRAND_DISTRIBUTION,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3.000.000+ sise/yil,UNKNOWN,"UNKNOWN (30+ ulke, liste UNKNOWN)",UNKNOWN,Fuar/odul dizini profilleri (T4),LOW,NONE,-,B,EV-2026-08-10-456,MODEL A adayi. Ihracat orani %90 — distributor arayan profil. Turkiye'de ithalatcisi var mi UNKNOWN (T-464). BEYAZ portfoy UNKNOWN — urun uyumu dogrulanmadi.
SUP-455,Parras Wines (Parras Vinhos),Portugal,https://parras.wine/en/,https://parras.wine/en/,UNKNOWN,"Bottled; 6 Portekiz bolgesi (Douro, Vinho Verde, Dao, Lisboa, Tejo, Alentejo)",EXISTING_BRAND_DISTRIBUTION (private label UNKNOWN),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN (grup ciro 26 m EUR+, 2020)",UNKNOWN,"UNKNOWN (CN, BR, US anilliyor)",UNKNOWN,Sektor basini + fuar katalogu (T4),LOW,NONE,-,B,EV-2026-08-10-457,"Grup icinde KENDI SISELEME TESISI var (Goanvi Bottling, Alcobaca) -> Model B'ye de cevap verebilir; ANCAK private label ACIKCA ILAN EDILMEMIS. ProWein 2026 katilimcisi."
SUP-456,Felix Solis Avantis,Spain,https://www.felixsolis.com/en/,https://www.felixsolis.com/en/contact/,UNKNOWN,"Bottled still wine; Valdepenas, La Mancha, Rueda, Ribera, Rioja, Toro",EXISTING_BRAND_DISTRIBUTION (private label UNKNOWN),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (115+ ulke),UNKNOWN,Uretici kurumsal sitesi (T4),MEDIUM,NONE,-,B,EV-2026-08-10-458,"Markalar: Vina Albali, Los Molinos, Mucho Mas, Marques de Moral — CHAIN RETAIL icin tasarlanmis f/p markalar. 115 ulkede bulunan markanin TR'de bos olma ihtimali DUSUK (T-464)."
SUP-457,Plaimont (Vignerons en Gascogne),France,https://www.plaimont.com/en,https://www.plaimont.com/en/contact,UNKNOWN (tel: +33 5 62 69 62 87),IGP Cotes de Gascogne beyaz (Colombard bazli) + 4 AOC,EXISTING_BRAND_DISTRIBUTION (private label UNKNOWN),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Uretici kurumsal sitesi (T4),MEDIUM,NONE,-,B,EV-2026-08-10-459,URUN ESLESMESI EN GUCLU aday: Colombard-Chardonnay tarzinin yapisal kaynagi (Colombelle markasi). ANCAK FR L2 CIF 6.27 USD/l — segment USTU; Gascogne'un altinda oldugu DOGRULANMADI.
SUP-458,Spanish Origin,Spain,https://www.spanishorigin.es/,https://www.spanishorigin.es/,info@spanishorigin.es,Bottled private label + bulk + alkolsuz/dusuk alkol + organik,PRIVATE_LABEL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750 (varsayilan; DOGRULANMADI),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Kurumsal site (T4) — landing page seviyesinde,LOW,NONE,-,C,EV-2026-08-10-460,"URETICI MI ARACI MI UNKNOWN. 'appellation, price and package design to match client specifications' — ters modelle (hedef fiyattan geriye) uyumlu tedarik dili. Plaza Nou Moles 3-10, Valencia."
SUP-459,Clark Estate,New Zealand,https://www.clarkestate.com/,https://www.clarkestate.com/private-labels/,info@clarkestate.com,"Bottled still wine, Marlborough",PRIVATE_LABEL,3000 sise / cesit / hasat yili,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750 (varsayilan; DOGRULANMADI),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sise tipi/kapak rengi/ambalaj degisken; maliyet UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NZ Off Licence 52/OFF/024/2021,UNKNOWN,UNKNOWN,Uretici kurumsal sitesi (T4),MEDIUM,NONE,-,C,EV-2026-08-10-455,"ULKE CHARTER LISTESINDE DEGIL. MOQ REFERANSI olarak tutuluyor; f/p segment uyumu SUPHELI (Marlborough SB premium). NZ, TR ithalatinda ilk 18 mense arasinda YOK."
SUP-460,Bodegas San Valero (Grupo BSV),Spain,https://www.sanvalero.com/,https://wineparis.com/exhibitor/bodega-san-valero,UNKNOWN,Bottled still wine + cava; DOP Carinena,BOTH (existing brand + private label),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2.500.000 koli/yil (ihracat muduru beyani),UNKNOWN,"UNKNOWN (40+ ulke, satislarin %70'i ihracat)",UNKNOWN,Sektor yayini roportaji + fuar profilleri (T4),LOW,NONE,-,A,EV-2026-08-10-461,IKILI ADAY — TEK RFQ ile iki modelin fiyat farki AYNI maliyet tabaninda olculebilir. Private label beyani ucuncu taraf yayindan; RFQ 4.1 ile teyit sart. DOP Carinena'nin ~%27'si.
