supplier_id,supplier_name,country,region,website,contact_channel,business_model,brand_name,product_type,grape_blend,vintage,abv_pct,volume_ml,incoterm,price_value,price_currency,price_unit,quote_type,quote_valid_until,moq_bottles,moq_containers,bottles_per_case,case_gross_weight_kg,case_dims_cm,cases_per_pallet,pallet_gross_weight_kg,payment_terms,payment_days,lead_time_days,private_label_capable,label_customization,bottled_finished_product,bulk_available,origin_proof_doc,analysis_certificates,export_markets,exported_to_turkey_before,annual_capacity_bottles,sample_sent,status,evidence_id,supersedes,access_date,collecting_agent,notes
SUP-401,Interbrosa Family Wines,Spain,UNKNOWN,https://www.interbrosa.com/private-brands/,info@interbrosa.es / +34 952 929 521,PRIVATE_LABEL,UNKNOWN,BOTTLED_AND_BIB,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NONE_YET,-,3000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,"Norway (Vinmonopolet); Denmark (Nemlig); Baltics (Maxima/Rimi/Selver)",UNKNOWN,UNKNOWN,NO,CANDIDATE,EV-2026-08-09-408,-,2026-08-09,global-sourcing-kasifi,"MOQ 4 palet/sarap = ~3000 sise. Etiket-koli-kapsul-mantar tasarimi ek ucretsiz beyani. BIB 3/5/10/20L. Vegan/organik/helal secenekleri. FIYAT SITEDE YOK."
SUP-402,Vina Maria,Spain,UNKNOWN,https://www.vinamaria.es/private-label-oem-wine,Web form,PRIVATE_LABEL,UNKNOWN,BOTTLED,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NONE_YET,-,UNKNOWN,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,15000000,NO,CANDIDATE,EV-2026-08-09-409,-,2026-08-09,global-sourcing-kasifi,"MOQ = 1 x 20ft KARISIK konteyner (2 farkli sarap). Konteynerin kac sise aldigi UNKNOWN (T-402). Hazir etiket havuzu + ozel tasarim. Fiyat listesi TALEP EDILEBILIR."
SUP-403,Vinicola Vedovato Mario SRL,Italy,"Trebaseleghe (PD), Veneto",https://www.vinicolavedovato.com/,info@vinicolavedovato.com / +39 049 5796432,PRIVATE_LABEL,UNKNOWN,BOTTLED,UNKNOWN,UNKNOWN,UNKNOWN,750,"EXW/FOB/CIF/DAP (muzakere edilebilir)",UNKNOWN,UNKNOWN,UNKNOWN,NONE_YET,-,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,"USA, Canada, Northern Europe, Germany, UK, Czechia",UNKNOWN,UNKNOWN,NO,CANDIDATE,EV-2026-08-09-417,-,2026-08-09,global-sourcing-kasifi,"Adanmis siseleme tesisi + Italya'da depolama + ihracat dokumantasyonu. 4 Incoterm'in de gorusulebildigi gorunuyor."
SUP-404,The Wine Factory (SARL),France,"Bordeaux (Gornac) + Languedoc (Valros)",https://www.twf-wines.com/,+33 5 56 61 91 12 / +33 4 67 76 50 24,PRIVATE_LABEL,UNKNOWN,BOTTLED,"AOP Bordeaux / Corbieres / Cotes de Provence; Sauvignon, Viognier, Pinot Noir",UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NONE_YET,-,3600,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN (odeme sonrasi uretim ifadesi pesin ipucu)",UNKNOWN,28-42,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,"International distributors/importers (ulke listesi UNKNOWN)",UNKNOWN,UNKNOWN,NO,CANDIDATE,EV-2026-08-09-410,-,2026-08-09,global-sourcing-kasifi,"MOQ 3600 sise. Lead time 4-6 hafta (odeme sonrasi). Sise stili/kabartma/yaldiz/cam kapak secenekleri. Fiyat ve Incoterm UNKNOWN."
SUP-405,Antawara Vineyards,Chile,UNKNOWN,https://antawara-wines.cl/private-labels/,https://antawara-wines.cl/contact/,PRIVATE_LABEL,UNKNOWN,BOTTLED,"Entry/Varietal/Reserve/Grand Reserve/Family Reserve kademeleri",UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NONE_YET,-,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,"12+ ulke (liste UNKNOWN)",UNKNOWN,UNKNOWN,NO,CANDIDATE,EV-2026-08-09-415,-,2026-08-09,global-sourcing-kasifi,"Kendini ithalatci private label'ina TAM ODAKLI az sayida Sili ureticisinden biri olarak tanimliyor. MOQ 'convenient' denip sayi verilmemis."
SUP-406,Corta Hojas Export Wine,Chile,"Curico, Maule",https://www.cortahojas.com/,info@cortahojas.com / +56 75 2315 328,PRIVATE_LABEL,UNKNOWN,"BOTTLED + BIB + BULK","Varietal/Reserve/Great Reserve/Family Reserve",UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NONE_YET,-,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,YES,YES,UNKNOWN,UNKNOWN,"Asia, North America, South America, Europe, Oceania",UNKNOWN,UNKNOWN,NO,CANDIDATE,EV-2026-08-09-416,-,2026-08-09,global-sourcing-kasifi,"%100 ihracat odakli. Flexitank/IBC bulk da yapiyor (bulk KAPSAM DISI, yalnizca not)."
SUP-407,Origin Wine,South Africa,"Stellenbosch (uretim); Banbury UK (merkez)",https://origin.wine/,info@originwine.co.za / +44 1295 221 340,PRIVATE_LABEL,"Bespoke Brands (musteri markasi)",BOTTLED,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NONE_YET,-,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,"UK, USA, Canada, Russia, Netherlands, Sweden, Denmark, Germany",NO_EVIDENCE,UNKNOWN,NO,CANDIDATE,EV-2026-08-09-412,-,2026-08-09,global-sourcing-kasifi,"Yilda 100+ m litre. ZA + AR (Mendoza) + CH kaynakli — tek mense bagimliligini azaltabilir. Turkiye pazar listesinde YOK."
SUP-408,FMS Wine Marketing,South Africa,"Stellenbosch / Paarl kaynakli",https://fms-wine-marketing.co.za/private-label-bulk-wine/,info@fms-wine-marketing.co.za,PRIVATE_LABEL,UNKNOWN,"BOTTLED + BULK",UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NONE_YET,-,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,~28,YES,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,CANDIDATE_LOW_CONFIDENCE,EV-2026-08-09-411,-,2026-08-09,global-sourcing-kasifi,"URETICI DEGIL pazarlama/aracilik firmasi — ek marj katmani riski. Ihracat onayi DAFF uzerinden. MOQ UNKNOWN."
SUP-409,Kingston Estate Wines,Australia,"Kingston-on-Murray / Riverland, SA",https://www.kingstonestatewines.com/,+61 8 8583 0500,PRIVATE_LABEL,"Kingston Estate; Kingston Echelon (kendi markalari)","BULK agirlikli; BOTTLED de var",UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NONE_YET,-,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,"'all corners of the world' (liste UNKNOWN)",UNKNOWN,UNKNOWN,NO,CANDIDATE,EV-2026-08-09-413,-,2026-08-09,global-sourcing-kasifi,"Avustralya'nin en buyuk private brand ureticisi iddiasi. 50+ m litre/yil; haftada 50-70 x 24000L flexitank. SISELENMIS urun MOQ'su ozellikle sorulmali."
SUP-410,Scheid Family Wines,USA,"Greenfield / Monterey County, California",https://scheidfamilywines.com/pages/private-label-brands,contact_sfw@scheidfamilywines.com / +1 831 455 9990,PRIVATE_LABEL,"Mundaka, Odd Lot, Blue Canyon, Paso Point, Long Valley Ranch, Windfinder vb.",BOTTLED,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NONE_YET,-,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,CANDIDATE,EV-2026-08-09-414,-,2026-08-09,global-sourcing-kasifi,"Benchmark mensei (California) ile dogrudan eslesme adayi. 'full-service private label program' + harman gelistirme. Fiyat/MOQ UNKNOWN."
