RISK_ID,RISK,PROBABILITY,IMPACT,STATUS,MITIGATION,NEXT_EVIDENCE,TICKET
R-01,Gercek tedarikci fiyati (EXW/FOB) yapisal tavanin USTUNDE cikar -> is modeli kapanmaz,UNKNOWN,KILL-LEVEL,OPEN,"RFQ ile 5+ gercek teklif; Grup P/799/CHAIN/Y ekseninde MAX FOB <= 5,2685 EUR ust siniri ile karsilastir",Gercek FIRM_QUOTE (>=5 tedarikci),T-466
R-02,Hedef raf fiyatinin (799) hangi rafa ait oldugu bilinmiyor; L8_CHAIN_RETAIL'de SIFIR gozlem var,HIGH,CRITICAL,OPEN,"Tek fizikselmagaza turu (>=2 sehir, >=20 SKU, etiket fotografi) — C-501+C-551+T-504+T-603+OQ-001'i AYNI ANDA kapatir",Zincir market raf fiyati gozlemi,"T-917, T-603, T-701"
R-03,"Kanal marji, geri akan bedeller (d) ve listeleme bedeli (f) tamamen ASSUMPTION/UNKNOWN",HIGH,CRITICAL,OPEN,Perakendeci ile gercek muzakere veya faal ithalatcidan gerceklesmis kosul seti,Gercek zincir anlasmasi kalem listesi,"T-604, T-856, T-951"
R-04,Mense belgesi alinamaz veya dogrudan nakliyat saglanamaz -> tarife %50'den %70'e cikar,MEDIUM,"-32,10 TL/sise (-%11,765); 50.000 siseede -1.604.885 TL",OPEN,Sozlesmeye OD-1...OD-5 taahhutleri + OD-5 kosullu fiyat duzeltme maddesi,Tedarikcinin EUR.1/fatura beyani taahhudu,"T-161, T-914, T-872"
R-05,Hicbir rotada dogrulanmis FCL navlunu YOK; band 4-5 kat,HIGH,Pilotta LCL/FCL kararini ve peak cash'i bloke ediyor,OPEN,"3 forwarder'dan yazili FCL+LCL kotasyonu (paket HAZIR, gonderilmedi)",Yazili FCL kotasyonu,"T-304 (CRITICAL), T-821, C-311"
R-06,Antrepo/gumruk zorunlu bekleme suresi UNKNOWN -> OTV takvim riski + peak cash zaman ekseni kirik,HIGH,CRITICAL,OPEN,mevzuat-ruhsat-uzmani; ayrica faal bir ithalatci ile gorusme,Gerceklesmis bir ithalat dosyasinin takvimi,T-301 (CRITICAL)
R-07,OTV maktudur ve Ocak/Temmuz'da YI-UFE ile kendiliginden artar; model hedef tarihi 2027,HIGH (mekanizma FACT),"lambda=1,5625'te -20,04 TL/sise tavan kaybi",OPEN,Duyarlilik ekseni olarak tasi; bugunku tutari 2027 icin FACT gibi kullanma,Ocak 2027 Resmi Gazete ilani,"T-104, T-921, T-965"
R-08,Turkiye'de sarap talebi/rotasyonu icin TEK BIR veri yok; 5.000 sise bile satilamayabilir,UNKNOWN,KILL-LEVEL,OPEN,Kanal on-gorusmesi: listeleme niyeti + beklenen aylik cikis; magaza turunda raf donusu gozlemi,Perakendeciden alinmis hacim beklentisi,"C-561, T-561"
R-09,G0 (yasal yol) BES TURDUR test edilmedi; iki acik celiski uzerinde duruyor,MEDIUM,G0 PASS geri alinabilir,OPEN,TADAB'a yazili gorus talebi veya faal kucuk olcekli ithalatci ile tek gorusme,TADAB yazili gorusu,"C-252, C-203, C-202"
R-10,Model cikitlarinin tamami DRAFT/UPPER_BOUND; 12 acik CRITICAL ticket var ve 26 kalem BLOCKED_INPUT,HIGH (kesin),Hicbir sayi APPROVED degil,OPEN,CLAUDE.md §5 geregi acik CRITICAL kapanmadan model APPROVED olamaz; RFQ turunda karar aracin ust sinir,CRITICAL ticket kapanislari,99-ops/tickets/INDEX.md
